Label,StopwordRemovedSentence
positive,resting earth take graceful attitudes
positive,thus ancients observing soft expressive looks cannot surpassed beautiful look woman give clear voluptuous eyes charming positions poetry manners metamorphosed male triton female mermaid
positive,made conseil notice considerable development lobes brain interesting cetaceans
positive,mammal except man quantity brain matter also capable receiving certain amount education easily domesticated think naturalists properly taught would great service fishing dogs
positive,greater part slept rocks sand
positive,amongst seals properly called external ears differ otter whose ears prominent noticed several varieties seals three yards long white coat bulldog heads armed teeth jaws four incisors top four bottom two large canine teeth shape fleur de lis
positive,amongst glided sea elephants kind seal short flexible trunks
neutral,giants species measured twenty feet round ten yards half length move approached
negative,creatures dangerous asked conseil
negative,unless attack
negative,defend young rage terrible uncommon break fishing boats pieces quite right said conseil
negative,say two miles farther stopped promontory shelters bay southerly winds
neutral,beyond heard loud bellowings troop ruminants would produce
negative,good said conseil concert bulls concert morses fighting either fighting playing began climb blackish rocks amid unforeseen stumbles stones ice made slippery
neutral,rolled expense loins
positive,conseil prudent steady stumble helped saying sir would kindness take wider steps would preserve equilibrium better arrived upper ridge promontory saw vast white plain covered morses
negative,playing amongst heard bellowings pleasure anger
positive,passed curious animals could examine leisurely move
neutral,skins thick rugged yellowish tint approaching red hair short scant
neutral,four yards quarter long
negative,quieter less timid cousins north like place sentinels round outskirts encampment
neutral,examining city morses began think returning
neutral,eleven clock captain nemo found conditions favourable observations wished present operation
neutral,followed narrow pathway running along summit steep shore
positive,half past eleven reached place landed
neutral,boat run aground bringing captain
negative,saw standing block basalt instruments near eyes fixed northern horizon near sun describing lengthened curve
neutral,took place beside waited without speaking
neutral,noon arrived sun appear
negative,fatality
neutral,observations still wanting
positive,accomplished morrow must give idea taking
neutral,indeed exactly 20th march
negative,morrow 21st would equinox sun would disappear behind horizon six months disappearance long polar night would begin
neutral,since september equinox emerged northern horizon rising lengthened spirals 21st december
neutral,period summer solstice northern regions begun descend morrow shed last rays upon
neutral,communicated fears observations captain nemo
neutral,right aronnax said morrow cannot take altitude sun shall able six months
negative,precisely chance led seas 21st march bearings easy take twelve see sun captain orb day described lengthened curves difficult measure exactly height horizon grave errors may made instruments shall use chronometer replied captain nemo
negative,morrow 21st march disc sun allowing refraction exactly cut northern horizon show south pole said
negative,statement mathematically correct equinox necessarily begin noon likely sir error hundred yards want
neutral,till morrow captain nemo returned board
neutral,conseil remained survey shore observing studying five clock
positive,went bed however without invoking like indian favour radiant orb
neutral,next day 21st march five morning mounted platform
neutral,found captain nemo
neutral,weather lightening little said
positive,hope
neutral,breakfast go shore choose post observation point settled sought ned land
neutral,wanted take
negative,obstinate canadian refused saw taciturnity bad humour grew day day
negative,sorry obstinacy circumstances
neutral,indeed many seals shore ought lay temptation unreflecting fisherman way
neutral,breakfast went shore
neutral,nautilus gone miles night
neutral,whole league coast reared sharp peak five hundred yards high
neutral,boat took captain nemo two men crew instruments consisted chronometer telescope barometer
positive,crossing saw numerous whales belonging three kinds peculiar southern seas whale english right whale dorsal fin humpback reeved chest large whitish fins spite name form wings fin back yellowish brown liveliest cetacea
positive,powerful creature heard long way throws great height columns air vapour look like whirlwinds smoke
neutral,different mammals disporting troops quiet waters could see basin antarctic pole serves place refuge cetacea closely tracked hunters
neutral,also noticed large medus floating reeds
negative,nine landed sky brightening clouds flying south fog seemed leaving cold surface waters
neutral,captain nemo went towards peak doubtless meant observatory
negative,painful ascent sharp lava pumice stones atmosphere often impregnated sulphurous smell smoking cracks
neutral,man unaccustomed walk land captain climbed steep slopes agility never saw equalled hunter would envied
neutral,two hours getting summit peak half porphyry half basalt
neutral,thence looked upon vast sea towards north distinctly traced boundary line upon sky
positive,feet lay fields dazzling whiteness
positive,heads pale azure free fog
negative,north disc sun seemed like ball fire already horned cutting horizon
positive,bosom water rose sheaves liquid jets hundreds
positive,distance lay nautilus like cetacean asleep water
negative,behind us south east immense country chaotic heap rocks ice limits visible
positive,arriving summit captain nemo carefully took mean height barometer would consider taking observations
positive,quarter twelve sun seen refraction looked like golden disc shedding last rays upon deserted continent seas never man yet ploughed
neutral,captain nemo furnished lenticular glass means mirror corrected refraction watched orb sinking horizon degrees following lengthened diagonal
neutral,held chronometer
neutral,heart beat fast
neutral,disappearance half disc sun coincided twelve clock chronometer pole
neutral,twelve exclaimed
negative,south pole replied captain nemo grave voice handing glass showed orb cut exactly equal parts horizon
neutral,looked last rays crowning peak shadows mounting degrees slopes
positive,moment captain nemo resting hand shoulder said captain nemo 21st day march 1868 reached south pole ninetieth degree take possession part globe equal one sixth known continents whose name captain sir saying captain nemo unfurled black banner bearing n gold quartered bunting
neutral,turning towards orb day whose last rays lapped horizon sea exclaimed adieu sun
negative,disappear thou radiant orb
neutral,next day 22nd march six morning preparations departure begun
neutral,last gleams twilight melting night
positive,cold great constellations shone wonderful intensity
neutral,zenith glittered wondrous southern cross polar bear antarctic regions
neutral,thermometer showed 120 zero wind freshened biting
positive,flakes ice increased open water
neutral,sea seemed everywhere alike
positive,numerous blackish patches spread surface showing formation fresh ice
neutral,evidently southern basin frozen six winter months absolutely inaccessible
neutral,became whales time
neutral,doubtless went beneath icebergs seeking practicable seas
negative,seals morses accustomed live hard climate remained icy shores
neutral,creatures instinct break holes ice field keep open
neutral,holes come breath birds driven away cold emigrated north sea mammals remain sole masters polar continent
neutral,reservoirs filling water nautilus slowly descending
positive,1 000 feet deep stopped screw beat waves advanced straight towards north speed fifteen miles hour
neutral,towards night already floating immense body iceberg
negative,three morning awakened violent shock
negative,sat bed listened darkness thrown middle room
negative,nautilus struck rebounded violently
neutral,groped along partition staircase saloon lit luminous ceiling
negative,furniture upset
positive,fortunately windows firmly set held fast
neutral,pictures starboard side longer vertical clinging paper whilst port side hanging least foot wall
positive,nautilus lying starboard side perfectly motionless
neutral,heard footsteps confusion voices captain nemo appear
neutral,leaving saloon ned land conseil entered
positive,matter said
neutral,came ask sir replied conseil
neutral,confound exclaimed canadian know well enough
negative,nautilus struck judging way lies think right first time torres straits asked least come surface sea know said conseil
positive,easy decide answered
neutral,consulted manometer
positive,great surprise showed depth 180 fathoms
neutral,mean exclaimed
neutral,must ask captain nemo said conseil
neutral,shall find said ned land
neutral,follow said companions
neutral,left saloon
neutral,one library
neutral,centre staircase berths ship crew one
neutral,thought captain nemo must pilot cage
positive,best wait
neutral,returned saloon
neutral,twenty minutes remained thus trying hear slightest noise might made board nautilus captain nemo entered
negative,seemed see us face generally impassive showed signs uneasiness
neutral,watched compass silently manometer going planisphere placed finger spot representing southern seas
negative,would interrupt minutes later turned towards said using one expressions torres straits incident captain sir accident time serious perhaps danger immediate nautilus stranded yes happened caprice nature ignorance man
negative,mistake made working
negative,cannot prevent equilibrium producing effects
positive,may brave human laws cannot resist natural ones captain nemo chosen strange moment uttering philosophical reflection
neutral,whole answer helped little
negative,may ask sir cause accident enormous block ice whole mountain turned replied
negative,icebergs undermined base warmer water reiterated shocks centre gravity rises whole thing turns
negative,happened one blocks fell struck nautilus gliding hull raised irresistible force bringing beds thick lying side get nautilus emptying reservoirs might regain equilibrium sir done moment
neutral,hear pump working
negative,look needle manometer shows nautilus rising block ice floating obstacle stops ascending motion position cannot altered indeed nautilus still held position starboard doubtless would right block stopped
negative,moment knows may frightfully crushed two glassy surfaces
neutral,reflected consequences position
neutral,captain nemo never took eyes manometer
neutral,since fall iceberg nautilus risen hundred fifty feet still made angle perpendicular
neutral,suddenly slight movement felt hold
neutral,evidently righting little
neutral,things hanging saloon sensibly returning normal position
neutral,partitions nearing upright
neutral,one spoke
negative,beating hearts watched felt straightening
neutral,boards became horizontal feet
neutral,ten minutes passed
neutral,last righted exclaimed
positive,yes said captain nemo going door saloon
neutral,floating asked
positive,certainly replied since reservoirs empty empty nautilus must rise surface sea open sea distance ten yards either side nautilus rose dazzling wall ice
neutral,beneath wall
positive,lower surface iceberg stretched us like immense ceiling
negative,beneath overturned block slid degrees found resting place lateral walls kept position
positive,nautilus really imprisoned perfect tunnel ice twenty yards breadth filled quiet water
positive,easy get going either forward backward make free passage iceberg hundreds yards deeper
positive,luminous ceiling extinguished saloon still resplendent intense light
negative,powerful reflection glass partition sent violently back sheets lantern
positive,cannot describe effect voltaic rays upon great blocks capriciously cut upon every angle every ridge every facet thrown different light according nature veins running ice dazzling mine gems particularly sapphires blue rays crossing green emerald
positive,opal shades wonderful softness running bright spots like diamonds fire brilliancy eye could bear
positive,power lantern seemed increased hundredfold like lamp lenticular plates first class lighthouse
positive,beautiful
positive,beautiful cried conseil
positive,yes said wonderful sight
positive,ned yes confound
positive,yes answered ned land superb
negative,mad obliged admit
positive,one ever seen anything like sight may cost us dear
positive,must say think seeing things god never intended man see ned right beautiful
negative,suddenly cry conseil made turn
neutral,asked
neutral,shut eyes sir
neutral,look sir saying conseil clapped hands eyes
negative,matter boy dazzled blinded eyes turned involuntarily towards glass could stand fire seemed devour
neutral,understood happened
neutral,nautilus put full speed
neutral,quiet lustre ice walls changed flashes lightning
negative,fire myriads diamonds blinding
negative,required time calm troubled looks
neutral,last hands taken
positive,faith never believed said conseil
negative,five morning moment shock felt bows nautilus
negative,knew spur struck block ice
positive,must false man uvre submarine tunnel obstructed blocks easy navigation
negative,thought captain nemo changing course would either turn obstacles else follow windings tunnel
negative,case road us could entirely blocked
neutral,contrary expectations nautilus took decided retrograde motion
neutral,going backwards said conseil
positive,yes replied
positive,end tunnel egress said working easy
neutral,must go back go southern opening
positive,speaking thus wished appear confident really
positive,retrograde motion nautilus increasing reversing screw carried us great speed
negative,hindrance said ned
positive,matter hours less provided get last yes repeated ned land provided get last short time walked saloon library
neutral,companions silent
neutral,soon threw ottoman took book eyes overran mechanically
positive,quarter hour conseil approaching said reading interesting sir interesting replied
neutral,think sir
positive,book reading book indeed holding hand work great submarine depths
positive,even dream
neutral,closed book returned walk
positive,ned conseil rose go
neutral,stay friends said detaining
neutral,let us remain together block please sir conseil replied
neutral,hours passed
neutral,often looked instruments hanging partition
positive,manometer showed nautilus kept constant depth three hundred yards compass still pointed south log indicated speed twenty miles hour cramped space great
positive,captain nemo knew could hasten much minutes worth ages us
negative,twenty five minutes past eight second shock took place time behind
neutral,turned pale
neutral,companions close side
neutral,seized conseil hand
positive,looks expressed feelings better words
neutral,moment captain entered saloon
neutral,went
neutral,course barred southward asked
positive,yes sir
neutral,thus around nautilus impenetrable wall ice
negative,prisoners iceberg
neutral,watched captain
neutral,countenance resumed habitual imperturbability
positive,gentlemen said calmly two ways dying circumstances placed puzzling person air mathematical professor lecturing pupils
negative,first crushed second die suffocation
negative,speak possibility dying hunger supply provisions nautilus certainly last longer shall
positive,let us calculate chances suffocation captain replied feared reservoirs full yield two days supply air
neutral,thirty six hours hidden water already heavy atmosphere nautilus requires renewal
negative,forty eight hours reserve exhausted well captain delivered forty eight hours attempt least piercing wall surrounds us side sound tell us
negative,going run nautilus aground lower bank men attack iceberg side least thick captain nemo went
neutral,soon discovered hissing noise water entering reservoirs
negative,nautilus sank slowly rested ice depth 350 yards depth lower bank immersed
positive,friends said situation serious rely courage energy sir replied canadian ready anything general safety good
neutral,ned held hand canadian
positive,add continued handy pickaxe harpoon useful captain command services refuse help
neutral,come ned led room crew nautilus putting cork jackets
positive,told captain ned proposal accepted
positive,canadian put sea costume ready soon companions
positive,ned dressed entered drawing room panes glass open posted near conseil examined ambient beds supported nautilus
positive,instants saw dozen crew set foot bank ice among ned land easily known stature
neutral,captain nemo
positive,proceeding dig walls took soundings sure working right direction
negative,long sounding lines sunk side walls fifteen yards stopped thick wall
negative,useless attack ceiling like surface since iceberg measured 400 yards height
neutral,captain nemo sounded lower surface
positive,ten yards wall separated us water great thickness ice field
negative,necessary therefore cut piece equal extent waterline nautilus
neutral,6 000 cubic yards detach dig hole could descend ice field
neutral,work begun immediately carried indefatigable energy
positive,instead digging round nautilus would involved greater difficulty captain nemo immense trench made eight yards port quarter
neutral,men set work simultaneously screws several points circumference
negative,presently pickaxe attacked compact matter vigorously large blocks detached mass
positive,curious effect specific gravity blocks lighter water fled speak vault tunnel increased thickness top proportion diminished base
negative,mattered little long lower part grew thinner
negative,two hours hard work ned land came exhausted
neutral,comrades replaced new workers conseil joined
neutral,second lieutenant nautilus superintended us
positive,water seemed singularly cold soon got warm handling pickaxe
positive,movements free enough although made pressure thirty atmospheres
negative,entered working two hours take food rest found perceptible difference pure fluid rouquayrol engine supplied atmosphere nautilus already charged carbonic acid
positive,air renewed forty eight hours vivifying qualities considerably enfeebled
negative,however lapse twelve hours raised block ice one yard thick marked surface 600 cubic yards
positive,reckoning took twelve hours accomplish much would take five nights four days bring enterprise satisfactory conclusion
neutral,five nights four days
neutral,air enough two days reservoirs
negative,without taking account said ned even get infernal prison shall also imprisoned iceberg shut possible communication atmosphere true enough
neutral,could foresee minimum time necessary deliverance
neutral,might suffocated nautilus could regain surface waves
neutral,destined perish ice tomb enclosed
negative,situation terrible
neutral,everyone looked danger face determined duty last
negative,expected night new block yard square carried away still sank immense hollow
neutral,morning dressed cork jacket traversed slushy mass temperature six seven degrees zero remarked side walls gradually closing
neutral,beds water farthest trench warmed men work showed tendency solidification
positive,presence new imminent danger would become chances safety hinder solidification liquid medium would burst partitions nautilus like glass
negative,tell companions new danger
neutral,good damping energy displayed painful work escape
negative,went board told captain nemo grave complication
negative,know said calm tone could counteract terrible apprehensions
neutral,one danger see way escaping chance safety go quicker solidification
neutral,must beforehand day several hours used pickaxe vigorously
neutral,work kept
positive,besides work quit nautilus breathe directly pure air drawn reservoirs supplied apparatus quit impoverished vitiated atmosphere
neutral,towards evening trench dug one yard deeper
neutral,returned board nearly suffocated carbonic acid air filled ah
neutral,chemical means drive away deleterious gas
positive,plenty oxygen water contained considerable quantity dissolving powerful piles would restore vivifying fluid
positive,thought well good since carbonic acid produced respiration invaded every part vessel
negative,absorb necessary fill jars caustic potash shake incessantly
neutral,substance wanting board nothing could replace
positive,evening captain nemo ought open taps reservoirs let pure air interior nautilus without precaution could get rid sense suffocation
neutral,next day march 26th resumed miner work beginning fifth yard
neutral,side walls lower surface iceberg thickened visibly
neutral,evident would meet nautilus able disengage
negative,despair seized instant pickaxe nearly fell hands
positive,good digging must suffocated crushed water turning stone punishment ferocity savages even would invented
neutral,captain nemo passed near
negative,touched hand showed walls prison
positive,wall port advanced least four yards hull nautilus
neutral,captain understood signed follow
neutral,went board
neutral,took cork jacket accompanied drawing room
neutral,
negative,aronnax must attempt desperate means shall sealed solidified water cement yes done ah
positive,nautilus strong enough bear pressure without crushed well asked catching captain idea
positive,understand replied congelation water help us
neutral,see solidification would burst field ice imprisons us freezes bursts hardest stones
negative,perceive would agent safety instead destruction yes captain perhaps
negative,whatever resistance crushing nautilus possesses could support terrible pressure would flattened like iron plate know sir
neutral,therefore must reckon aid nature exertions
negative,must stop solidification
neutral,side walls pressed together ten feet water behind nautilus
positive,congelation gains us sides long air reservoirs last us breathe board captain looked face
negative,morrow empty cold sweat came
positive,however ought astonished answer
neutral,march 22 nautilus open polar seas
neutral,26
neutral,five days lived reserve board
neutral,left respirable air must kept workers
negative,even write recollection still vivid involuntary terror seizes lungs seem without air
negative,meanwhile captain nemo reflected silently evidently idea struck seemed reject
neutral,last words escaped lips boiling water muttered
negative,boiling water cried
positive,yes sir
neutral,enclosed space relatively confined
neutral,would jets boiling water constantly injected pumps raise temperature part stay congelation let us try said resolutely
neutral,let us try professor thermometer stood 7 outside
neutral,captain nemo took galleys vast distillatory machines stood furnished drinkable water evaporation
neutral,filled water electric heat piles thrown worms bathed liquid
positive,minutes water reached 100
positive,directed towards pumps fresh water replaced proportion
neutral,heat developed troughs cold water drawn sea gone machines came boiling body pump
neutral,injection begun three hours thermometer marked 6 zero outside
positive,one degree gained
neutral,two hours later thermometer marked 4
positive,shall succeed said captain anxiously watched result operation
negative,think answered shall crushed
negative,suffocation fear night temperature water rose 1 zero
neutral,injections could carry higher point
negative,congelation sea water produces least 2 least reassured dangers solidification
positive,next day march 27th six yards ice cleared twelve feet remaining cleared away
neutral,yet forty eight hours work
neutral,air could renewed interior nautilus
negative,day would make worse
negative,intolerable weight oppressed
negative,towards three clock evening feeling rose violent degree
neutral,yawns dislocated jaws
neutral,lungs panted inhaled burning fluid became rarefied
neutral,moral torpor took hold
negative,powerless almost unconscious
positive,brave conseil though exhibiting symptoms suffering manner never left
positive,took hand encouraged heard murmur oh
negative,could breathe leave air master tears came eyes hearing speak thus
neutral,situation intolerable interior haste gladness would put cork jackets work turn
neutral,pickaxes sounded frozen ice beds
negative,arms ached skin torn hands
negative,fatigues wounds matter
positive,vital air came lungs
neutral,breathed
neutral,breathed
neutral,time one prolonged voluntary task beyond prescribed time
positive,task accomplished one handed turn panting companions apparatus supplied life
negative,captain nemo set example submitted first severe discipline
positive,time came gave apparatus another returned vitiated air board calm unflinching unmurmuring
positive,day ordinary work accomplished unusual vigour
neutral,two yards remained raised surface
neutral,two yards separated us open sea
negative,reservoirs nearly emptied air
neutral,little remained ought kept workers particle nautilus
neutral,went back board half suffocated
neutral,night
neutral,know describe
negative,next day breathing oppressed
neutral,dizziness accompanied pain head made like drunken man
neutral,companions showed symptoms
neutral,crew rattling throat
negative,day sixth imprisonment captain nemo finding pickaxes work slowly resolved crush ice bed still separated us liquid sheet
neutral,man coolness energy never forsook
neutral,subdued physical pains moral force
neutral,orders vessel lightened say raised ice bed change specific gravity
neutral,floated towed bring immense trench made level water line
neutral,filling reservoirs water descended shut hole
neutral,crew came board double door communication shut
neutral,nautilus rested bed ice one yard thick sounding leads perforated thousand places
neutral,taps reservoirs opened hundred cubic yards water let increasing weight nautilus 1 800 tons
positive,waited listened forgetting sufferings hope
positive,safety depended last chance
neutral,notwithstanding buzzing head soon heard humming sound hull nautilus
positive,ice cracked singular noise like tearing paper nautilus sank
neutral,murmured conseil ear
neutral,could answer
neutral,seized hand pressed convulsively
negative,carried away frightful overcharge nautilus sank like bullet waters say fell vacuum
neutral,electric force put pumps soon began let water reservoirs
negative,minutes fall stopped
neutral,soon manometer indicated ascending movement
negative,screw going full speed made iron hull tremble bolts drew us towards north
negative,floating iceberg last another day reach open sea shall dead first
neutral,half stretched upon divan library suffocating
negative,face purple lips blue faculties suspended
neutral,neither saw heard
neutral,notion time gone mind
neutral,muscles could contract
negative,know many hours passed thus conscious agony coming
negative,felt going die
neutral,suddenly came
neutral,breaths air penetrated lungs
neutral,risen surface waves
positive,free iceberg
neutral,
positive,ned conseil two brave friends sacrificing save
neutral,particles air still remained bottom one apparatus
negative,instead using kept suffocated gave life drop drop
positive,wanted push back thing held hands moments breathed freely
neutral,looked clock eleven morning
neutral,ought 28th march
neutral,nautilus went frightful pace forty miles hour
neutral,literally tore water
neutral,captain nemo
neutral,succumbed
negative,companions dead
neutral,moment manometer indicated twenty feet surface
neutral,mere plate ice separated us atmosphere
neutral,could break
neutral,perhaps
neutral,case nautilus going attempt
neutral,felt oblique position lowering stern raising bows
negative,introduction water means disturbing equilibrium
positive,impelled powerful screw attacked ice field beneath like formidable battering ram
negative,broke backing rushing forward field gradually gave way last dashing suddenly shot forwards ice field crushed beneath weight
negative,panel opened one might say torn pure air came abundance parts nautilus
neutral,got platform idea perhaps canadian carried
neutral,breathed inhaled vivifying sea air
negative,two companions getting drunk fresh particles
negative,unhappy men long without food could impunity indulge simplest aliments given
positive,contrary end restrain could draw air freely lungs breeze breeze alone filled us keen enjoyment
positive,ah said conseil delightful oxygen
negative,master need fear breathe
negative,enough everybody ned land speak opened jaws wide enough frighten shark
negative,strength soon returned looked round saw alone platform
negative,foreign seamen nautilus contented air circulated interior none come drink open air
positive,first words spoke words gratitude thankfulness two companions
negative,ned conseil prolonged life last hours long agony
positive,gratitude could repay devotion
positive,friends said bound one ever infinite obligations shall take advantage exclaimed canadian
neutral,mean said conseil
negative,mean shall take leave infernal nautilus well said conseil going right yes replied going way sun sun north doubt said ned land remains seen whether bring ship pacific atlantic ocean frequented deserted seas could answer question feared captain nemo would rather take us vast ocean touches coasts asia america time
positive,would thus complete tour round submarine world return waters nautilus could sail freely
positive,ought long settle important point
neutral,nautilus went rapid pace
neutral,polar circle soon passed course shaped cape horn
neutral,american point march 31st seven clock evening
negative,past sufferings forgotten
neutral,remembrance imprisonment ice effaced minds
neutral,thought future
neutral,captain nemo appear either drawing room platform
neutral,point shown day planisphere marked lieutenant showed exact direction nautilus
positive,evening evident great satisfaction going back north atlantic
neutral,next day april 1st nautilus ascended surface minutes noon sighted land west
positive,terra del fuego first navigators named thus seeing quantity smoke rose natives huts
positive,coast seemed low distance rose high mountains
positive,even thought glimpse mount sarmiento rises 2 070 yards level sea pointed summit according misty clear sign fine wet weather
positive,moment peak clearly defined sky
neutral,nautilus diving water approached coast miles
positive,glass windows drawing room saw long seaweeds gigantic fuci varech open polar sea contains many specimens sharp polished filaments measured 300 yards length real cables thicker one thumb great tenacity often used ropes vessels
neutral,another weed known velp leaves four feet long buried coral concretions hung bottom
neutral,served nest food myriads crustacea molluscs crabs cuttlefish
positive,seals otters splendid repasts eating flesh fish sea vegetables according english fashion
positive,fertile luxuriant ground nautilus passed great rapidity
neutral,towards evening approached falkland group rough summits recognised following day
neutral,depth sea moderate
positive,shores nets brought beautiful specimens sea weed particularly certain fucus roots filled best mussels world
neutral,geese ducks fell dozens platform soon took places pantry board
negative,last heights falklands disappeared horizon nautilus sank twenty twenty five yards followed american coast
neutral,captain nemo show
neutral,3rd april quit shores patagonia sometimes ocean sometimes surface
neutral,nautilus passed beyond large estuary formed uraguay
neutral,direction northwards followed long windings coast south america
neutral,made 1 600 miles since embarkation seas japan
neutral,eleven clock morning tropic capricorn crossed thirty seventh meridian passed cape frio standing sea
positive,captain nemo ned land great displeasure like neighbourhood inhabited coasts brazil went giddy speed
positive,fish bird swiftest kind could follow us natural curiosities seas escaped observation
neutral,speed kept several days evening 9th april sighted westerly point south america forms cape san roque
negative,nautilus swerved sought lowest depth submarine valley cape sierra leone african coast
neutral,valley bifurcates parallel antilles terminates mouth enormous depression 9 000 yards
neutral,place geological basin ocean forms far lesser antilles cliff three half miles perpendicular height parallel cape verde islands wall less considerable encloses thus sunk continent atlantic
positive,bottom immense valley dotted mountains give submarine places picturesque aspect
negative,speak moreover manuscript charts library nautilus charts evidently due captain nemo hand made personal observations
neutral,two days desert deep waters visited means inclined planes
neutral,nautilus furnished long diagonal broadsides carried elevations
positive,11th april rose suddenly land appeared mouth amazon river vast estuary embouchure considerable freshens sea water distance several leagues
neutral,equator crossed
negative,twenty miles west guianas french territory could found easy refuge stiff breeze blowing furious waves would allowed single boat face
negative,ned land understood doubt spoke word
negative,part made allusion schemes flight would urge make attempt must inevitably fail
positive,made time pass pleasantly interesting studies
negative,days april 11th 12th nautilus leave surface sea net brought marvellous haul zoophytes fish reptiles
positive,zoophytes fished chain nets part beautiful phyctallines belonging actinidian family among species phyctalis protexta peculiar part ocean little cylindrical trunk ornamented vertical lines speckled red dots crowning marvellous blossoming tentacles
positive,molluscs consisted already observed turritellas olive porphyras regular lines intercrossed red spots standing plainly flesh odd pteroceras like petrified scorpions translucid hyaleas argonauts cuttle fish excellent eating certain species calmars naturalists antiquity classed amongst flying fish serve principally bait cod fishing
positive,opportunity studying several species fish shores
positive,amongst cartilaginous ones petromyzons pricka sort eel fifteen inches long greenish head violet fins grey blue back brown belly silvered sown bright spots pupil eye encircled gold curious animal current amazon drawn sea inhabit fresh waters tuberculated streaks pointed snouts long loose tail armed long jagged sting little sharks yard long grey whitish skin several rows teeth bent back generally known name pantouffles vespertilios kind red isosceles triangle half yard long pectorals attached fleshy prolongations make look like bats horny appendage situated near nostrils given name sea unicorns lastly species balistae curassavian whose spots brilliant gold colour capriscus clear violet varying shades like pigeon throat
positive,end catalogue somewhat dry perhaps exact series bony fish observed passing belonging apteronotes whose snout white snow body beautiful black marked long loose fleshy strip odontognathes armed spikes sardines nine inches long glittering bright silver light species mackerel provided two anal fins centronotes blackish tint fished torches long fish two yards length fat flesh white firm arc fresh taste like eel dry like smoked salmon labres half red covered scales bottom dorsal anal fins chrysoptera gold silver blend brightness ruby topaz golden tailed spares flesh extremely delicate whose phosphorescent properties betray midst waters orange coloured spares long tongues maigres gold caudal fins dark thorn tails anableps surinam etc
positive,notwithstanding et cetera must omit mention fish conseil long remember good reason
positive,one nets hauled sort flat ray fish tail cut formed perfect disc weighed twenty ounces
neutral,white underneath red large round spots dark blue encircled black glossy skin terminating bilobed fin
negative,laid platform struggled tried turn convulsive movements made many efforts one last turn nearly sent sea
neutral,conseil wishing let fish go rushed could prevent seized hands
negative,moment overthrown legs air half body paralysed crying oh
neutral,master master
negative,help first time poor boy spoken familiarly
neutral,canadian took rubbed contracted arms till became sensible
negative,unfortunate conseil attacked cramp fish dangerous kind cumana
positive,odd animal medium conductor like water strikes fish several yards distance great power electric organ two principal surfaces measure less twenty seven square feet
neutral,next day april 12th nautilus approached dutch coast near mouth maroni
positive,several groups sea cows herded together manatees like dugong stellera belong skenian order
positive,beautiful animals peaceable inoffensive eighteen twenty one feet length weigh least sixteen hundredweight
positive,told ned land conseil provident nature assigned important role mammalia
negative,indeed like seals designed graze submarine prairies thus destroy accumulation weed obstructs tropical rivers
positive,know added result since men almost entirely annihilated useful race
negative,putrefied weeds poisoned air poisoned air causes yellow fever desolates beautiful countries
negative,enormous vegetations multiplied torrid seas evil irresistibly developed mouth rio de la plata florida
neutral,believe toussenel plague nothing would seas cleaned whales seals
neutral,several days nautilus kept american coast
positive,evidently wish risk tides gulf mexico sea antilles
neutral,april 16th sighted martinique guadaloupe distance thirty miles
neutral,saw tall peaks instant
negative,canadian counted carrying projects gulf either landing hailing one numerous boats coast one island another quite disheartened
neutral,flight would quite practicable ned land able take possession boat without captain knowledge
neutral,open sea could thought
neutral,canadian conseil long conversation subject
negative,six months prisoners board nautilus
neutral,travelled 17 000 leagues ned land said reason come end
positive,could hope nothing captain nautilus
negative,besides time past become graver retired less sociable
neutral,seemed shun
neutral,met rarely
positive,formerly pleased explain submarine marvels left studies came saloon
neutral,change come
neutral,cause
positive,part wish bury curious novel studies
positive,power write true book sea book sooner later wished see daylight
neutral,land nearest us archipelago bahamas
positive,rose high submarine cliffs covered large weeds
positive,eleven clock ned land drew attention formidable pricking like sting ant produced means large seaweeds
positive,well said proper caverns poulps astonished see monsters said conseil cuttlefish real cuttlefish cephalopod class said poulps huge dimensions never believe animals exist said ned
positive,well said conseil serious air world remember perfectly seen large vessel drawn waves octopus arm saw said canadian
positive,yes ned eyes eyes pray might st malo answered conseil
neutral,port said ned ironically
neutral,church replied conseil
negative,church cried canadian
positive,yes friend ned
positive,picture representing poulp question good said ned land bursting laughing
neutral,quite right said
positive,heard picture subject represented taken legend know think legends matter natural history
neutral,besides question monsters imagination apt run wild
positive,supposed poulps draw vessels certain olaus magnus speaks octopus mile long like island animal
neutral,also said bishop nidros building altar immense rock
neutral,mass finished rock began walk returned sea
neutral,rock poulp
neutral,another bishop pontoppidan speaks also poulp regiment cavalry could man uvre
positive,lastly ancient naturalists speak monsters whose mouths like gulfs large pass straits gibraltar much true stories asked conseil
negative,nothing friends least passes limit truth get fable legend
neutral,nevertheless must ground imagination story tellers
negative,one cannot deny poulps cuttlefish exist large species inferior however cetaceans
neutral,aristotle stated dimensions cuttlefish five cubits nine feet two inches
neutral,fishermen frequently see four feet long
neutral,skeletons poulps preserved museums trieste montpelier measure two yards length
neutral,besides according calculations naturalists one animals six feet long would tentacles twenty seven feet long
neutral,would suffice make formidable monster fish days asked ned
neutral,fish sailors see least
positive,one friends captain paul bos havre often affirmed met one monsters colossal dimensions indian seas
negative,astonishing fact permit denial existence gigantic animals happened years ago 1861 fact asked ned land
neutral,
neutral,1861 north east teneriffe nearly latitude crew despatch boat alector perceived monstrous cuttlefish swimming waters
positive,captain bouguer went near animal attacked harpoon guns without much success balls harpoons glided soft flesh
